RPID,RPName,Amount,L_RID,OName
101,"Implementing Teacher-Centered Robotics Activities in Science Lessons: The Effect on Motivation, Satisfaction and Science Skills",18000,29-7965956,Microsoft
102,Increasing Elementary Students' Computational Thinking Skills Using a Multifaceted Robotics-Based Intervention,4000,05-7581025,
103,Increasing Gender Diversity in Engineering Using Soft Robotics,12000,56-8587964,NSF
104,Influences of Gender and Socioeconomic Status on Children's Use of Robotics in Early Childhood Education: A Systematic Review,14000,65-4593749,DARPA
105,Informal STEM: Learning with Robotics and Game Design in an Urban Context,16000,93-5912202,Adobe
106,Innovative Technology and Education: Artificial Intelligence and Language Learning in Turkey,"20,000",23-1409018,Google
107,Integration in Multiple-Document Comprehension: A Natural Language Processing Approach,15000,11-3990870,IBM
108,Integration of Modern Technologies in Higher Education on the Example of Artificial Intelligence Use,18000,96-5928574,Microsoft
109,Interactivity and Materiality Matter in Creativity: Educational Robotics for the Assessment of Divergent Thinking,4000,57-1957223,
110,Investigation of Middle School Students' Attitudes towards Robotic Coding According to Different Variables,12000,05-0554811,NSF
111,Investigation of the Effects of Computer-Aided Animations on Conceptual Understanding through Metaphors: An Example of Artificial Intelligence,14000,07-7635636,DARPA
112,"Investigation of the Relationships between the Attitudes of Secondary School Students towards Robotic Activities and the Levels of Self-Regulation, Metacognitive Awareness",16000,42-1764965,Adobe
113,IoT as Assistive Technology: Applications in Education as a Tool for Inclusion,"20,000",94-0209938,Google
114,"Kindergarten Scores, Storytelling, Executive Function, and Motivation Improved through Literacy-Rich Guided Play",15000,06-5378553,IBM
115,Learning Programming through Robots: The Effects of Educational Robotics on Pre-Service Teachers' Programming Comprehension and Motivation,18000,84-6376781,Microsoft
116,Learning Robot Differential Movements Using a New Educational Robotics Simulation Tool,4000,84-6670398,
117,Learning Science through the Artec Robotics Program for Preschools in Singapore,12000,30-2275211,NSF
118,Learning to Teach Mathematics with Robots: Developing the 'T' in Technological Pedagogical Content Knowledge,14000,87-4378098,DARPA
119,Looking for Problem Scenarios with Robotic Coding: Primary School Example in Turkey,16000,87-7335853,Adobe
120,Low-Cost Open-Source Robotic Platform for Education,"20,000",33-0715639,Google
121,Malleability of Spatial Reasoning with Short-Term and Long-Term Robotics Interventions,15000,38-5716770,IBM
122,"Mapping K-12 Computer Science Teacher's Interest, Self-Confidence, and Knowledge about the Use of Educational Robotics to Teach",18000,19-3117470,Microsoft
123,Metaphorical Perceptions of Middle School Students Regarding the Concept of Artificial Intelligence,4000,94-1931754,
124,More than Surgical Tools: A Systematic Review of Robots as Didactic Tools for the Education of Professionals in Health Sciences,12000,64-6098492,NSF
125,Motivational Control of Impulsive Behavior Interacts with Choice Opportunities,14000,96-0055362,DARPA
126,Natural Language Processing in Mixed-Methods Text Analysis: A Workflow Approach,16000,77-3558649,Adobe
127,Non-Sequential Learning in a Robotics Class: Insights from the Engagement of a Child with Autism Spectrum Disorder,"20,000",63-1315364,Google
128,Nurture Interest-Driven Creators in Programmable Robotics Education: An Empirical Investigation in Primary School Settings,15000,38-5786904,IBM
129,Opinions of Middle School Students on the Concept of Science and the Use of Robotic Systems,18000,10-8345501,Microsoft
130,Part 2: The Theoretical Foundations of Sustainability Education in Action--Falls Church City Public Schools,4000,60-1364998,
131,Pre-Service Science Teachers' Experiences with Robotic Intervention Process,12000,42-4426609,NSF
132,Problem-Based Test: Replication of Mitochondrial DNA during the Cell Cycle,14000,04-5813072,DARPA
133,"Promoting Computational Thinking, Computational Participation, and Spatial Reasoning with LEGO Robotics",16000,09-1064092,Adobe
134,Protective Measures,"20,000",71-1787157,Google
135,Results and Prospects from the Utilization of Educational Robotics in Greek Schools,15000,62-7206026,IBM
136,Revisiting Second Graders' Robotics with an Understand/Use-Modify-Create (U[superscript 2]MC) Strategy,18000,19-9375682,Microsoft
137,Risk Perceptions about Personal Internet-of-Things: Research Directions from a Multi-Panel Delphi Study,4000,15-1725869,
138,Robotic Telescope Labs for Survey-Level Undergraduates,12000,43-6270920,NSF
139,Robotics as a Tool to Enhance Technological Thinking in Early Childhood,14000,50-2677954,DARPA
140,Robotics in Education: Examining Information Technology Teachers' Views,16000,66-9543487,Adobe
141,Robotics in the International Educational Space: Integration and the Experience,"20,000",03-6196037,Google
142,Robotics Professional Development,15000,47-2931642,IBM
143,Role of the Psychological Test and Evaluation System Based on the Internet of Things in the Early Warning of Psychological Dangers of College Students,18000,88-9046554,Microsoft
144,School Leaders' Adoption and Implementation of Artificial Intelligence,4000,84-9269880,
145,Secondary School Students' Opinions on Educational Robotic Applications,12000,90-9118157,NSF
146,Short-Term Effects of a Classroom-Based STEAM Program Using Robotic Kits on Children in South Korea,14000,45-1563702,DARPA
147,Simulators in Educational Robotics: A Review,16000,68-3577636,Adobe
148,Soft Robotics as Emerging Technologies: Preparing Students for Future Work through Soft Robot Design Experiences,"20,000",56-8587964,Google
149,Spanish and Swedish Teachers' Perspective of Teaching STEM and Robotics in Preschool -- Results from the botSTEM Project,15000,78-4849282,IBM
150,"STEM, Robotics, Mobile Apps in Early Childhood and Primary Education: Technology to Promote Teaching and Learning. Lecture Notes in Educational Technology",18000,17-1460592,Microsoft
151,Students' Motivation to Learn Mathematics in the Robotics Environment,4000,23-2591668,
152,Students' Perceptions about the Use of Minimalist Robotic Games in Geography Education,12000,77-6981324,NSF
153,Studies on Robotic Coding Education in Science Education: A Systematic Literature Review,14000,40-8287143,DARPA
154,Symmetry and Degeneracy in Quantum Mechanics. Self-Duality in Finite Spin Systems,16000,73-0202338,Adobe
155,Systematic Literature Review of Semantic Web for Distance Learning,"20,000",95-7384972,Google
156,Teaching Proportionality through Robotics,15000,87-4378098,IBM
157,Teaching Undergraduate Robotic Courses Using Enhanced VEX Robots,18000,36-8004220,Microsoft
158,Teaching with Robotics: Creating and Implementing Integrated Units in Middle School Subjects,4000,33-1976588,
159,The Answer Is (Not Only) Technological: Considering Student Data Privacy in Learning Analytics,12000,12-0528030,NSF
160,The Development and Validation of the Robotics Learning Self-Efficacy Scale (RLSES),14000,18-0553501,DARPA
161,The Effect of Anchor Test Construction on Scale Drift,16000,71-9762761,Adobe
162,The Effect of Educational Robotic Applications on Academic Achievement: A Meta-Analysis Study,"20,000",51-5264259,Google
163,The Effect of Individual and Group Learning on Block-Based Programming Self-Efficacy and Robotic Programming Attitudes of Secondary School Students,15000,82-1303380,IBM
164,The Effect of Internet of Things Education through Distance Education on Student Success and Motivation,18000,25-7674660,Microsoft
165,The Effect of Robotics-Based Storytelling Activities on Primary School Students' Computational Thinking,4000,61-0319465,
166,The Effect of STEM and STEM-Based Robotic Activities on the Development of Students' Perceptions of Mental Risk-Taking and Its Predictors and Their Inquiry Skills in Science Learning,12000,57-6149691,NSF
167,The Effect of STEM-Based Robotic Applications on the Creativity and Attitude of Students,14000,93-3799656,DARPA
168,The Effective Diffusion of Educational Robotics in Rural Areas: A Case Study in the Sakha Republic of Russia,16000,77-7173823,Adobe
169,The Effects of Educational Robotics Activities on Students' Attitudes towards STEM and ICT Courses,"20,000",55-7371174,Google
170,The Effects of Robotics Professional Development on Science and Mathematics Teaching Performance and Student Achievement in Underserved Middle Schools,15000,84-6376781,IBM
171,The Effects of Robotics Programming on Secondary School Students' Problem-Solving Skills,18000,07-5079608,Microsoft
172,The Effects of Robotics Training on Students' Creativity and Learning in Physics,4000,74-8593223,
173,The Engineering Ed Project: Dealing with Failure and the Robotic Future -- Engaging Students in Multidisciplinary STEM Learning,12000,47-6213326,NSF
174,The History of Robotics and Implications for K-12 STEM Education,14000,07-8107125,DARPA
175,"The Impact of Robotics Assisted Programming Education on Academic Success, Problem Solving Skills and Motivation",16000,53-7362299,Adobe
176,The Opinions of Field Experts on the Usability of Internet-of-Things Technology in Open and Distance Learning Environments,"20,000",97-4713951,Google
177,"The Role of Competitive Robotics in Providing Context to Classroom Learning and Technical Skill Development in School Age Students--A Survey of Current Avenues, Assessment, and Path Forward with Systematic Implementation",15000,77-7040630,IBM
178,The Symbiotics System: Designing an Internet of Things Platform for Elementary School Students,18000,66-3298682,Microsoft
179,The Usability of Images Generated by Artificial Intelligence (AI) in Education,4000,35-1589371,
180,Towards a Tutoring System to Support Robotics Activities in Classrooms -- Two Wizard-of-Oz Studies,12000,96-3954005,NSF
181,Trends and Research Foci of Robotics-Based STEM Education: A Systematic Review from Diverse Angles Based on the Technology-Based Learning Model,14000,87-9915122,DARPA
182,Understanding the Internet of Things,16000,98-1629633,Adobe
183,User Perspectives of Robotic Telepresence Technology in Schools: A Systematic Literature Review,"20,000",38-9097852,Google
184,Using Mastery Learning Theory to Develop Task-Centered Hands-On STEM Learning of Arduino-Based Educational Robotics: Psychomotor Performance and Perception by a Convergent Parallel Mixed Method,15000,06-7763360,IBM
185,Using Natural Language Processing to Support Student-Centered Education,18000,25-8613900,Microsoft
186,Using Robotics to Support the Acquisition of STEM and 21st-Century Competencies: Promising (and Practical) Directions,4000,11-0470431,
187,Wearing Forces Spectacles,12000,83-3768392,NSF
188,When Robots Invade the Neighborhood: Learning to Teach PreK-5 Mathematics Leveraging Both Technology and Community Knowledge,14000,02-0082716,DARPA
189,You Are an Astroneer: The Effects of Robotics Camps on Secondary School Students' Perceptions and Attitudes towards STEM,16000,80-7623194,Adobe
